group,band,feature_1,feature_2,spearman_r,abs_spearman_r
ADHD,delta,Fp1_delta_power,Fp2_delta_power,0.8092014806980433,0.8092014806980433
ADHD,delta,Fp1_delta_power,F7_delta_power,0.4797990481226864,0.4797990481226864
ADHD,delta,Fp1_delta_power,F3_delta_power,0.6526176626123744,0.6526176626123744
ADHD,delta,Fp1_delta_power,Fz_delta_power,0.6627710206240085,0.6627710206240085
ADHD,delta,Fp1_delta_power,F4_delta_power,0.6802221047065045,0.6802221047065045
ADHD,delta,Fp1_delta_power,F8_delta_power,0.4970386039132734,0.4970386039132734
ADHD,delta,Fp1_delta_power,T7_delta_power,0.5118455843469064,0.5118455843469064
ADHD,delta,Fp1_delta_power,C3_delta_power,0.5051824431517715,0.5051824431517715
ADHD,delta,Fp1_delta_power,Cz_delta_power,0.7395557905869911,0.7395557905869911
ADHD,delta,Fp1_delta_power,C4_delta_power,0.5222633527234267,0.5222633527234267
ADHD,delta,Fp1_delta_power,T8_delta_power,0.4451084082496034,0.4451084082496034
ADHD,delta,Fp1_delta_power,P7_delta_power,0.6383923849814913,0.6383923849814913
ADHD,delta,Fp1_delta_power,P3_delta_power,0.6136964569011105,0.6136964569011105
ADHD,delta,Fp1_delta_power,Pz_delta_power,0.6933897408778424,0.6933897408778424
ADHD,delta,Fp1_delta_power,P4_delta_power,0.5400317292437864,0.5400317292437864
ADHD,delta,Fp1_delta_power,P8_delta_power,0.49069275515600214,0.49069275515600214
ADHD,delta,Fp1_delta_power,O1_delta_power,0.6250661025912215,0.6250661025912215
ADHD,delta,Fp1_delta_power,O2_delta_power,0.69613960867266,0.69613960867266
ADHD,delta,Fp2_delta_power,F7_delta_power,0.4537810682178741,0.4537810682178741
ADHD,delta,Fp2_delta_power,F3_delta_power,0.584981491274458,0.584981491274458
ADHD,delta,Fp2_delta_power,Fz_delta_power,0.6264410364886304,0.6264410364886304
ADHD,delta,Fp2_delta_power,F4_delta_power,0.6803807509254363,0.6803807509254363
ADHD,delta,Fp2_delta_power,F8_delta_power,0.48942358540454783,0.48942358540454783
ADHD,delta,Fp2_delta_power,T7_delta_power,0.4727657324167107,0.4727657324167107
ADHD,delta,Fp2_delta_power,C3_delta_power,0.5092014806980434,0.5092014806980434
ADHD,delta,Fp2_delta_power,Cz_delta_power,0.6645690111052354,0.6645690111052354
ADHD,delta,Fp2_delta_power,C4_delta_power,0.443416181914331,0.443416181914331
ADHD,delta,Fp2_delta_power,T8_delta_power,0.3852987837123215,0.3852987837123215
ADHD,delta,Fp2_delta_power,P7_delta_power,0.6599682707562137,0.6599682707562137
ADHD,delta,Fp2_delta_power,P3_delta_power,0.5765203595980962,0.5765203595980962
ADHD,delta,Fp2_delta_power,Pz_delta_power,0.6514542570068746,0.6514542570068746
ADHD,delta,Fp2_delta_power,P4_delta_power,0.6024854574299312,0.6024854574299312
ADHD,delta,Fp2_delta_power,P8_delta_power,0.5352194606028556,0.5352194606028556
ADHD,delta,Fp2_delta_power,O1_delta_power,0.6682178741406664,0.6682178741406664
ADHD,delta,Fp2_delta_power,O2_delta_power,0.6482813326282391,0.6482813326282391
ADHD,delta,F7_delta_power,F3_delta_power,0.5502908514013749,0.5502908514013749
ADHD,delta,F7_delta_power,Fz_delta_power,0.5389212057112639,0.5389212057112639
ADHD,delta,F7_delta_power,F4_delta_power,0.5331570597567424,0.5331570597567424
ADHD,delta,F7_delta_power,F8_delta_power,0.5537281861448968,0.5537281861448968
ADHD,delta,F7_delta_power,T7_delta_power,0.4251718667371761,0.4251718667371761
ADHD,delta,F7_delta_power,C3_delta_power,0.6230037017451084,0.6230037017451084
ADHD,delta,F7_delta_power,Cz_delta_power,0.531253305129561,0.531253305129561
ADHD,delta,F7_delta_power,C4_delta_power,0.5079851930195664,0.5079851930195664
ADHD,delta,F7_delta_power,T8_delta_power,0.45996827075621366,0.45996827075621366
ADHD,delta,F7_delta_power,P7_delta_power,0.44806980433633,0.44806980433633
ADHD,delta,F7_delta_power,P3_delta_power,0.4121099947117927,0.4121099947117927
ADHD,delta,F7_delta_power,Pz_delta_power,0.5701216287678477,0.5701216287678477
ADHD,delta,F7_delta_power,P4_delta_power,0.5190904283447911,0.5190904283447911
ADHD,delta,F7_delta_power,P8_delta_power,0.33061872025383393,0.33061872025383393
ADHD,delta,F7_delta_power,O1_delta_power,0.46308831306187204,0.46308831306187204
ADHD,delta,F7_delta_power,O2_delta_power,0.44082496033844526,0.44082496033844526
ADHD,delta,F3_delta_power,Fz_delta_power,0.8171337916446325,0.8171337916446325
ADHD,delta,F3_delta_power,F4_delta_power,0.7540983606557377,0.7540983606557377
ADHD,delta,F3_delta_power,F8_delta_power,0.5557377049180328,0.5557377049180328
ADHD,delta,F3_delta_power,T7_delta_power,0.5700158646218931,0.5700158646218931
ADHD,delta,F3_delta_power,C3_delta_power,0.6808566895822317,0.6808566895822317
ADHD,delta,F3_delta_power,Cz_delta_power,0.7693283976731888,0.7693283976731888
ADHD,delta,F3_delta_power,C4_delta_power,0.6989952406134321,0.6989952406134321
ADHD,delta,F3_delta_power,T8_delta_power,0.5714965626652565,0.5714965626652565
ADHD,delta,F3_delta_power,P7_delta_power,0.7216287678476996,0.7216287678476996
ADHD,delta,F3_delta_power,P3_delta_power,0.7197778952934955,0.7197778952934955
ADHD,delta,F3_delta_power,Pz_delta_power,0.7708619777895294,0.7708619777895294
ADHD,delta,F3_delta_power,P4_delta_power,0.6395029085140137,0.6395029085140137
ADHD,delta,F3_delta_power,P8_delta_power,0.5483342147012162,0.5483342147012162
ADHD,delta,F3_delta_power,O1_delta_power,0.7215758857747223,0.7215758857747223
ADHD,delta,F3_delta_power,O2_delta_power,0.7729772607086198,0.7729772607086198
ADHD,delta,Fz_delta_power,F4_delta_power,0.7772607086197779,0.7772607086197779
ADHD,delta,Fz_delta_power,F8_delta_power,0.4180856689582232,0.4180856689582232
ADHD,delta,Fz_delta_power,T7_delta_power,0.6567424643046007,0.6567424643046007
ADHD,delta,Fz_delta_power,C3_delta_power,0.7434690639873083,0.7434690639873083
ADHD,delta,Fz_delta_power,Cz_delta_power,0.8046536224219989,0.8046536224219989
ADHD,delta,Fz_delta_power,C4_delta_power,0.6286620835536753,0.6286620835536753
